status	drivePath	id	mimeType	modifiedTime	driveSize	localPath	originalBytes	storedBytes	outputsStripped	validNotebookJson
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/FINAL 0.1/Copy of Final 0.1 FILTERING	1_5_Z_kv4sdOmWr2qZHZPc-bYGe0LChzs	application/vnd.google.colaboratory	2025-07-02T16:04:49.357Z	75451	research_2025_summer_distal_speech_rate/Project_Code/FINAL_0.1/Copy_of_Final_0.1_FILTERING.ipynb	75451	45991	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/FINAL 0.1/ERP-analysis.ipynb	1HvHD4fm2Jr2wvN-FPub-dEwCZMR2i5Ru	application/vnd.google.colaboratory	2025-08-04T22:48:03.344Z	2663883	research_2025_summer_distal_speech_rate/Project_Code/FINAL_0.1/ERP-analysis.ipynb	2663883	55796	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/FINAL 0.1/Final 0.1 FILTERING	1WR4RKtusDmRTuusCFn8ahIBjKiFdMWzo	application/vnd.google.colaboratory	2025-08-04T22:44:43.985Z	2663521	research_2025_summer_distal_speech_rate/Project_Code/FINAL_0.1/Final_0.1_FILTERING.ipynb	2663521	55588	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/FINAL 0.1/Untitled0.ipynb	1FgzvcexRyJQnpey7Vce_qvb7gbf94pWf	application/vnd.google.colaboratory	2025-07-03T14:36:06.725Z	1640120	research_2025_summer_distal_speech_rate/Project_Code/FINAL_0.1/Untitled0.ipynb	1640120	61207	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ICA_Inspection.ipynb	15HUfyzbgkJavIFSoKaucYlLmAmj5TkOm	application/json	2025-06-13T21:56:37.572Z	25432	research_2025_summer_distal_speech_rate/Project_Code/ICA_Inspection.ipynb	25432	8470	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/ICA.ipynb	1Y_NgeuRhMsFPqBnuBnA2uAwPW92uGPW6	application/json	2025-06-18T18:47:03.947Z	92785025	research_2025_summer_distal_speech_rate/Project_Code/ICA.ipynb	92785025	30178	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/NATALI/Audio.ipynb	1B1Lo0VtCyyMjkkBVzuKKIxxwaRHeWRRM	application/vnd.google.colaboratory	2025-07-11T11:40:51.542Z	344085	research_2025_summer_distal_speech_rate/Project_Code/NATALI/Audio.ipynb	344085	39460	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/NATALI/Copy of Ml.ipynb	1r476MqA1dBp-QhqNTEH51Zss35hHjcl_	application/vnd.google.colaboratory	2025-07-29T18:39:48.247Z	404801	research_2025_summer_distal_speech_rate/Project_Code/NATALI/Copy_of_Ml.ipynb	404801	70128	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/NATALI/LatestVersion.ipynb	1GlcsSwrqeXeH5MOO2Kx4uwaDWABvdy7P	application/vnd.google.colaboratory	2025-07-23T15:40:44.470Z	550854	research_2025_summer_distal_speech_rate/Project_Code/NATALI/LatestVersion.ipynb	550854	65722	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/NATALI/ML_perception_prediction.ipynb	11cDdlV8rVbOIV9JpiMCzAhBe25zUFe2N	application/vnd.google.colaboratory	2025-08-11T14:25:09.111Z	1270221	research_2025_summer_distal_speech_rate/Project_Code/NATALI/ML_perception_prediction.ipynb	1270221	82389	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/NATALI/mTRF.ipynb	1aDHEFe3UwirvawFRVH0nWsg5n_Lsg2Xg	application/vnd.google.colaboratory	2025-07-31T16:42:07.887Z	1932353	research_2025_summer_distal_speech_rate/Project_Code/NATALI/mTRF.ipynb	1932353	9178	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/NATALI/Time-Frequency Decomposition.ipynb	1sPxY0JZ0vhj65-OkT5RFkS079ilY12-Y	application/vnd.google.colaboratory	2025-08-04T23:12:32.893Z	65349	research_2025_summer_distal_speech_rate/Project_Code/NATALI/Time-Frequency_Decomposition.ipynb	65349	17229	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/NATALI/Untitled0.ipynb	1T1c4QDPPfdjs2tUty2k1m1eiGI7nY2l7	application/vnd.google.colaboratory	2025-07-18T14:18:06.730Z	304187	research_2025_summer_distal_speech_rate/Project_Code/NATALI/Untitled0.ipynb	304187	45714	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/reference	1AHj_HkbeetapN2uSXeFYY9E_r2Hp2DkG	application/vnd.google.colaboratory	2025-06-12T19:01:42.444Z	36814	research_2025_summer_distal_speech_rate/Project_Code/reference.ipynb	36814	10460	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Stimuli/Broadband_Envelope.ipynb	1VyrVF6OcQbF6YlbC0C9-9kvk2RE4SPuf	application/octet-stream	2025-06-13T17:06:17.000Z	238461	research_2025_summer_distal_speech_rate/Project_Code/Stimuli/Broadband_Envelope.ipynb	238461	5932	true	true
ok	Research/2025_Summer (Distal Speech Rate)/Project_Code/Stimuli/SR003_Plots.ipynb	1iWh6ABgruCaoWNbQGT33YDpyeC_pcJPQ	application/octet-stream	2025-06-13T17:06:17.000Z	240217	research_2025_summer_distal_speech_rate/Project_Code/Stimuli/SR003_Plots.ipynb	240217	6579	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/1_PAC.ipynb	1Jj4xBx_i5QQRu5hzwMvQxUn2UOXJKhUa	application/vnd.google.colaboratory	2025-07-07T23:13:03.631Z	814357	research_2025_summer_distal_speech_rate/SIMULATIONS/1_PAC.ipynb	814357	23535	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/3_PAC.ipynb	1cVpEdlkdGIX_pyuZ630tqEzWKCXdagmP	application/vnd.google.colaboratory	2025-07-09T20:00:51.321Z	287363	research_2025_summer_distal_speech_rate/SIMULATIONS/3_PAC.ipynb	287363	18059	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/4_PAC.ipynb	1U-dArhZRREQmEHyPLyBf7xRdlmkLrslA	application/vnd.google.colaboratory	2025-07-17T05:55:53.947Z	248115	research_2025_summer_distal_speech_rate/SIMULATIONS/4_PAC.ipynb	248115	19666	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/5_PAC.ipynb	1D-12lym2x1jQdRKi06scmd_9zcyN86oP	application/vnd.google.colaboratory	2025-07-17T05:54:04.388Z	306692	research_2025_summer_distal_speech_rate/SIMULATIONS/5_PAC.ipynb	306692	18253	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/AAC.ipynb	1NXqICbwVdTPSR2-ULD0Kj3xNiF77xHj9	application/vnd.google.colaboratory	2025-07-07T14:46:25.998Z	334463	research_2025_summer_distal_speech_rate/SIMULATIONS/AAC.ipynb	334463	10900	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/mTRF Simulations.ipynb	1TRNixw73NbfhBEA7GeFxwhIUpPY-8sad	application/vnd.google.colaboratory	2025-07-02T18:47:27.386Z	1730188	research_2025_summer_distal_speech_rate/SIMULATIONS/mTRF_Simulations.ipynb	1730188	25657	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/New PAC.ipynb	1e_BWw2gBeIgp4FBBMxCq_NTgqQx4RWuv	application/vnd.google.colaboratory	2025-07-07T23:38:44.418Z	456542	research_2025_summer_distal_speech_rate/SIMULATIONS/New_PAC.ipynb	456542	17461	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/PPC.ipynb	19fBYfw3toOcSVNiFkurhtUNaTDAnfO3x	application/vnd.google.colaboratory	2025-07-07T04:27:57.448Z	342006	research_2025_summer_distal_speech_rate/SIMULATIONS/PPC.ipynb	342006	3361	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/Simulated PAC.ipynb	1olE87M6yhgiHgrq7-HjY-bA4SUimqh78	application/vnd.google.colaboratory	2025-07-03T15:05:03.580Z	314637	research_2025_summer_distal_speech_rate/SIMULATIONS/Simulated_PAC.ipynb	314637	12604	true	true
ok	Research/2025_Summer (Distal Speech Rate)/SIMULATIONS/Simulations/PAC.ipynb	1s6MG5tiguR2O8l30LNC0zzOxhvRvS7Ea	application/vnd.google.colaboratory	2025-06-30T06:41:50.443Z	135608	research_2025_summer_distal_speech_rate/SIMULATIONS/Simulations/PAC.ipynb	135608	9157	true	true
